id,sentence,difficulty
241,Un journaliste de Art Press a interviewé Agathe sur la performance dans laquelle elle a participé.,B2
242,Je ne crois pas que les enfants vont réussir.,A2
243,C'est vrai qu'ils sont très bons mais j'ai peur qu'il tombe malade,B1
244,"C'est d'accord pour samedi, je viens avec ma soeur Katrine.",A1
245,"Les Cyanobactéries se distinguent des Bactéries par la présence de chlorophylle A et de pigments accessoires hydrosolubles, les phycobilines rouge et bleue.",C1
246,"Celles-ci n'influeront sur la recherche scientifique que vers le milieu du XVIIe siècle: et l'on peut, il me semble, attribuer au grand naturaliste Réaumur le mérite d'en avoir tiré les premières conséquences expérimentales dans ses recherches sur la prolongation de la vie chez les insectes.",C2
247,"Même à l'université, les études sont trop focalisées et seuls 5 % des étudiants qui ont un doctorat occuperont une fonction académique.",C2
248,"Et si boire chaud donne chaud, c'est un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration.",B1
249,"Le soir venu, il faut rentrer en prenant le même chemin que le matin",A2
250,Je suis vraiment plus dans le flow,A2
251,L'élastique s'est distendu.,B1
252,Cet auteur tellement lu pour sa Grammaire impertinente propose aussi. des Jeux pour lire vite (Retz),C2
253,Des coutumes similaires ont existé autrefois notamment dans le Finistère : les enfants s'amusaient à creuser des betteraves au moment de la Toussaint pour faire peur aux gens du voisinage,B2
254,"Elle ressemble à un bébé tigre, mais c'est un tigre qui a très peur.",A2
255,"De nombreux indicateurs lui permettent de suivre l'évolution de la situation, et au fur et à mesure que l'épidémie se propage, de nouveaux outils deviennent nécessaires pour avoir une vision globale de la situation.",C1
256,Alice a un chien.,A1
257,Pierre qui roule n'amasse pas mousse,C1
258,Elle n'était pas là.,A1
259,Des réponses aux questions que l'on se pose sur soi et sur les autres.,A2
260,"Cependant, la responsable du service nous a confirmé que les conditions d'accueil et de délivrance de vos documents administratifs mit été respectées selon les normes établies par notre ministère",C2
261,L'ensemble des jeunes ?,A2
262,"Il avait pris sa belle valise verte qu'il trimballe depuis vingt ans, pour passer cinq jours de vacances près de Vannes chez sa vieille amie Sylvaine qu'il voyait beaucoup avant de vivre à Valencienne",B1
263,"Ensuite, on ira au cinéma du quartier qui organise tous les ans des séances spéciales",C1
264,Les résultats de deux études sur les métriques utilisées par les entreprises pour évaluer leur capital intellectuel,C2
265,La ville entière s'est illuminée autour du marché de Noël qui enchante les passants de ses illuminations réchauffant les coeurs dans le froid de l'hiver,B2
266,"Si vous êtes intéressé, appelez-moi.",A1
267,"La retraite, les quinquas d'aujourd'hui l'imaginent active, forcément active.",C1
268,Mon père a eu une mutation pour venir travailler à Paris.,A1
269,"On peut aussi aller au théâtre, dans les musées ou au cinéma",A1
270,"Je suis encore au bureau, je vais rentrer plus tard.",A1
271,On va manger dans le jardin.,A1
272,"Il aurait vidé de même une barrique entière, lui semblait-il ; il aurait mangé un boeuf, étranglé un lion.",B2
273,"Une feuille prise d'un arbre du paradis, sur laquelle est écrite un mot en lettres d'or par le Père éternel.",A2
274,"Ne t'inquiète pas, tu vas vite t'habituer à ta nouvelle vie.",A2
275,Les réseaux sociaux sont l'objet d'un étonnant paradoxe.,B2
276,"C'est là un enrichissement culturel, car l'enfant peut alors s'ouvrir, à travers cette langue différente, à des traits typologiques présents dans beaucoup d'autres langues, sur lesquels le bilinguisme breton français offre un accès indirect",C2
277,Vous avez bien étudié et vous avez réussi facilement.,A2
278,Le journal n'a pas expliqué comment ce prisonnier s'est évadé.,B1
279,"Il ne la connaît pas bien, alors il demande à ses autres collègues",A1
280,L'anecdote est révélatrice.,B2
281,"C'est l'année où les centaines de milliers de baby-boomers, nés lors du pic des naissances de 1946, arriveront à la retraite.",B2
282,"Pour y aller, descendez à la station musée du Louvre, prenez à droite et continuez tout droit",A1
283,L'originalité du mécanisme est d'utiliser des photons et de les convertir en énergie chimique qui se retrouve dans l'énergie de liaison des atomes de carbone et d'hydrogène dans les glucides formés.,C1
284,"Par ailleurs, 42 % des adolescents déclarent qu'ils seraient ""dévastés"" s'ils devaient quitter leur foyer plusieurs jours sans leur téléphone.",B2
285,"Et toi, tu es toujours cuisinier ?",A1
286,"En les mélangeant, on peut former d'autres couleurs. Le vert par exemple, est la couleur de l'herbe et des feuilles des arbres.",B1
287,"Enfin, selon le Haut conseil en santé publique, les ""lieux diffusant de la musique amplifiée"" ne doivent pas dépasser le niveau moyen de 105 dB durant quinze minutes, ce qui est rarement respecté.",B2
288,"Les dettes relevées au niveau individuel sont attribuées solidairement à l'ensemble des membres du ménage, les résultats diffusés indiquant ainsi les pourcentages de la population vivant dans un ménage avec le ou les types de dettes considérés.",C1
289,Elle a un physique ingrat.,B1
290,Le grand Meaulnes jeta son chapeau par terre et je vis qu'il avait les cheveux complètement ras comme un paysan.,B2
291,"En 1985, l'économiste japonais Ohmae Kenichi invente la formule commode de ""triade"" pour décrire la nouvelle polarisation du Monde.",C1
292,L'étude de l'influence de chaînes ramifiées courtes sur le métabolisme des xénobiotiques est développée en deux parties.,C2
293,La manière dont le Monde fut construit à partir des grandes découvertes est donc largement responsable de sa géographie contemporaine.,C2
294,"""Je les ai subis, et je les ai fait subir à mes enfants, jusqu'à ce que j'ose m'en affranchir, résume cet inventeur de produits plus ludiques",C2
295,"Il est devenu courant de déplorer que la France ait acquis la place de championne d'Europe des prélèvements obligatoires, expression qui englobe les impôts d'État, les impôts locaux, les taxes et les cotisations sociales : la part du Produit intérieur brut (PIB) que les autorités prélèvent sur la richesse nationale a atteint 48, 4 %, alors que la moyenne d'Europe est à 40, 2 %.",C2
296,Aucun filet ne saura empêcher les algues de l'Atlantique de voguer et de tirer leur saveur des eaux qu'elles traversent.,B2
297,"Une fois leur projet abouti, ils parlent de liberté, d'harmonie, de renaissance.",C1
298,"Il est vrai que Pierre a moins de livres que ses amis, mais les siens sont meilleurs.",A2
299,Vous êtes une des copines de Zoé.,A1
300,"Chacun de nous se fait donc simplement une illusion du monde, illusion poétique, sentimentale, joyeuse, mélancolique, sale ou lugubre suivant sa nature.",C1
301,"Ils déjeunèrent face à face, se regardant et se souriant sans cesse, occupés uniquement d'eux, tout enveloppés par le charme si doux d'une tendresse qui commence.",C1
302,Elle travaille dans le domaine de l'informatique aussi ?,A1
303,"Une action peut être envisagée, nonobstant les doutes subsistant quant au lien de causalité.",C2
304,"On peut montrer le nouveau père en exemple à destination d'autres pères moins impliqués, mais sans en faire ni un objet de curiosité ni un héros absolu auquel il faudrait dresser une statue.",B2
305,Les normes européennes sont absurdes et nous étouffent.,B2
306,M. Cruchon vient de donner une réponse à notre question.,A2
307,Il est possible de faire du vélo dans un parc autour d'une citadelle fortifiée.,A2
308,Elle ne travaille plus ici depuis quinze jours.,A2
309,Ne cherchons donc point d'assurance et de fermeté.,B2
310,Les jeunes sont moins soumis aux impératifs moraux qu'à ceux du succès.,B2
311,Jean a une copine.,A1
312,"Les sénateurs élus au scrutin majoritaire qui acceptent des fonctions gouvernementales sont remplacés, jusqu'à l'expiration d'un délai d'un mois suivant la cessation de ces fonctions, par les personnes élues en même temps qu'eux à cet effet.",C1
313,"L'étymologie latine du mot travail, ""tripalium"", signifie ""instrument de torture""",C2
314,"Au delà du désagrément esthétique, ces déchets menacent la moitié des oiseaux marins et au moins 200 espèces de poissons, crustacées et mammifères vivant dans les océans parce qu'ils confondent ces déchets avec de la nourriture.",B2
315,"Elles m'ont promis de me faire découvrir tout Londres : nous visiterons les musées, les monuments et les parcs",A1
316,"Pour Catherine Down, c'est un soulagement de ne pas avoir à traverser cette épreuve toute seule, même si l'idée de partager son petit studio l'a d'abord angoissée.",B1
317,"Sachez ici qu'impavide est la jument quand l'étalon la pénètre, impavide et, pourtant, nous n'ignorons pas que la verge de l'étalon est digne d'estime lorsqu'elle sort de son fourreau.",C2
318,Les enfant n'avaient pas envie de travailler leurs devoirs après l'école.,A2
319,(À noter que l'apprentissage de la grammaire française obéit aux mêmes objectifs.) Il est parfaitement connu que la seule méthode viable pour apprendre une langue étrangère est l'immersion,C2
320,Nous vous remercions de voyager sur la compagnie France Air.,A1
321,"Une association de promotion et de développement de l'apprentissage en ligne note que si la calculatrice a supplanté le calcul mental y compris pour des opérations basiques, et que l'utilisation d'un ordinateur relié à internet pourrait aisément remplacer une partie de notre mémoire, les opérations basiques ont été mémorisées en amont et c'est grâce à cette assimilation de connaissances basiques que l'apprenant peut utiliser la calculatrice .",B2
322,Ils créèrent une nouvelle société moderne sur les ruines de l'ancienne civilisation.,C1
323,"""Je vous laisserai sortir seulement à condition que vous juriez solennellement que vous ne révélerez à personne où vous avez dormi, ni comment vous êtes entré dans la grotte aux serpents !"" dit le roi.",B1
324,Le bord du lac est vraiment magnifique et je fais beaucoup de sport.,A2
325,Il joue de la guitare dans un bar.,A1
326,"A l'intérieur de ma maison, il y a un grand salon avec une table et quatre chaises pour accueillir mes amis.",A2
327,"Une belle robe moulante, elle veut mettre en avant ses formes",C1
328,Il nous a indiqué qu'il avait fini son film hier et qu'il allait en commercer un nouveau dans deux semaines.,B1
329,"Même si la Révolution française était déjà en cours, la prise symbolique de la Juillet forteresse, qui ne comptait que 7 prisonniers à l'époque, reste l'événement clé de la révolte",B2
330,"Pendant des semaines, la Maison Blanche avait courtisé une poignée de sénateurs républicains et démocrates modérés qui détiennent aujourd'hui le pouvoir de bloquer, ou de sauver, ses grands projets.",B2
331,"Petit, replet et hautainement timide, il avait un ventre légèrement proéminent, dont le surplomb offrait une pente ascendante qui mettait en évidence les boutons de son gilet et de son pantalon, marquant le milieu exact de son corps de cette ligne obstétrique que l'on voit sur les fruits : l'arc qui est l'inévitable rançon de pesantes tournées de bourgogne, de schlagsahne et de bière.",C2
332,"Certes, l'individu, actif et volontaire, est le seul initiateur de sa reconversion.",C1
333,Est-ce que tu veux que je regarde avec toi ?,A2
334,"Tous les mardis, il va à l'entraînement de football.",A1
335,Les vacances approchent et j'aimerais bien te voir !,A2
336,"La vieille acquiesça de la tête, sous sa grand cornette à l'ancienne mode, dont les ailes recourbées l'enveloppaient quasi toute de leurs blanches mousselines empesées",C2
337,Encore une fois.,A1
338,"Pour aller dans ma chambre, je dois monter un escalier",A2
339,"Dans cette situation tout en cherchant d'autres facteurs possibles de maladie, un bilan du taux de ferritine, ainsi que d'autres tests peuvent être judicieux.",C1
340,"Le gouverneur de la colonie, William Bradford, décida alors de proclamer un jour de remerciement et d'action de grâce pour remercier Dieu de leur avoir donné une terre finalement si accueillante avec des indigènes si serviables",B2
341,Ainsi une centaine de caméras automatiques installées sur le sol français surveillent en permanence la rentrée de météorites dans l'atmosphère.,C1
342,"Le lendemain, l'assistante m'a téléphoné pour savoir si j'étais disponible lundi.",B1
343,"Dans les années 1990, Valéry Giscard d'Estaing s'engage pour l'Europe, mais en 2005, son projet de Constitution européenne est rejeté en France par référendum Le ""non"" l'emporte largement",C1
344,Comment j'ai survécu à une perverse narcissique,B2
345,Elle cherche un travail de réceptionniste dans un hôtel,A1
346,"Si la multiplicité des cultures est une condition nécessaire pour un développement humain réussi, alors la préservation de la diversité linguistique est essentielle, puisque les langues écrites et orales sont le principal mode de transmission des cultures.",C1
347,"Après, je vais dans la cuisine et je bois mon café",A1
348,"Je ne vais pas aller avec eux, puisqu'ils sont déjà partis !",A2
349,"L'immense majorité des déchets professionnels sont mêlés aux gravats ou aux emballages, et enterrés dans le sol faute d'être isolés en vue de leur traitement , affirme-t-il.",B2
350,Il y a même des restaurants,A2
351,Serveur : y a-t-il un problème avec votre table ?,A2
352,"Une exception, dans un paysage audiovisuel où il y a beaucoup de règles.",B1
353,"Les sollicitations incessantes auxquelles nous sommes confrontés nous obligent à une discipline de fer. Pour ne pas se laisser envahir, il devient nécessaire d'établir des règles et limites.",C2
354,Son retour fut moins prompt que ne l'espérait le comte de P ***.,C2
355,Le raisonnement mathématique est plus proche de la logique masculine.,B2
356,Mais le chien n'est pas le seul à apprendre !,B1
357,Crise de l'âge adulte ou choix rationnel ?,C1
358,Le chien a besoin de rencontrer d'autres animaux.,B1
359,Il paraît qu'on mange bien : l'une des spécialités de l'île est le fromage de chèvre.,A2
360,Mon mari est éditeur.,A1
361,"Descendu de cheval, il allait le long des noisetiers et des églantiers, suivi des deux chevaux que le valet d'écurie tenait par les rênes, allait dans les craquements du silence, torse nu sous le soleil de midi, allait et souriait, étrange et princier, sûr d'une victoire.",C2
362,"L'habileté de son plan ne consistera donc point dans l'émotion ou dans le charme, dans un début attachant ou dans une catastrophe émouvante, mais dans le groupement adroit de petits faits constants d'où se dégagera le sens définitif de l'oeuvre.",C1
363,"La population mondiale, malgré un net ralentissement, augmente et elle pourrait atteindre 9, 3 milliards de personnes en 2050, et plafonner autour de 10, 5 à 11 milliards à la fin du XXIe siècle.",C1
364,"J'allai me cacher dans un coin du salon, derrière un groupe d'hommes qui causaient.",C2
365,"Oui, il y a une grande armoire.",A1
366,"Lorsqu'il y a des mouvements sociaux en France, la présence des jeunes, étudiants et lycéens, est souvent déterminante.",B2
367,"Jour du Seigneur cher à l'Église, il est supprimé après la révolution de 1789, puis voué aux gémonies par Napoléon, sous prétexte que, ""le peuple mangeant le dimanche, il doit pouvoir travailler le dimanche"".",C2
368,Les choses sont en train de mal tourner.,A2
369,"La parade descend l'avenue Champs-Élysées, de la place de l'Étoile, alias place Charles-de-Gaulle, jusqu'à la place de la Concorde",B2
370,Je dois beaucoup travailler mais ça me plaît,A1
371,"Emma rêvait au jour de son mariage: et elle se revoyait là-bas, au milieu des blés, sur le petit sentier, quand on marchait vers l'église.",C2
372,"Sur les flancs et les derrières de la noce, tout le village en rumeur bourdonnait comme un essaim",C2
373,"Dès que vous eûtes ouvert la porte, le chat entra avec empressement",C2
374,"Malgré les 35 heures, le Bureau of Labor Statistics du ministère fédéral américain du Travail établit ainsi qu'un Français produit davantage de richesses qu'un Anglais, un Allemand ou un Japonais.",C1
375,"Finies les façades grises et ternes, terminée la morosité ambiante",B2
376,"Après avoir lutté contre la philosophie de la réflexion, Hegel doit donc entreprendre une lutte contre la philosophie du romantisme.",C2
377,Mais je ne suis pas tout à fait certain de réussir.,B1
378,Moi je suis pas vraiment d'accord avec ce que dit Monsieur.,A2
379,"Autrement dit, peut-on se contenter du sentiment de notre liberté pour en déduire son existence certaine",C2
380,"Morin : ""Notre mode de connaissance parcellisée prédit des ignorances globales.",B2
381,"Comme pour les autres sciences, la démarche des enseignants intéressés par les ressources pédagogiques et les formations de La Main à la pâte est une démarche volontaire.",C2
382,Elles cachent une partie de leur douleur,B2
383,"Fini les pâtes à l'italienne, les gros haricots blancs, les pommes de terre en robe des champs avec du beurre et du bon pain frais.",B2
384,"Il aime beaucoup lire, surtout le soir avant de dormir",B1
385,"Et toi, ça va ?",A2
386,"C'est une gifle immatérielle, une ébauche de cruauté, un petit plain-pied sexuel, une indifférence de mâle.",C2
387,Un rocher est une grande masse de pierre dure qui est enracinée dans la terre.,B1
388,"Je ne mange pas viande, je suis végétarienne.",A1
389,La bave du crapaud n'atteint pas la blanche colombe,C2
390,"Comme souvent, lorsqu'une technique est émergente, sa finalisation se produit en plusieurs endroits presque simultanément.",C2
391,Je suis professeur.,A1
392,Il ne faut pas toujours aller les demander à la société.,A2
393,C'est parce qu'il n'aimait pas les plats de la cantine.,A1
394,Le journaliste lui a posé des questions auxquelles il a répondu sans hésitations.,B2
395,L'âme mobile de la comtesse embrassa avec enthousiasme l'idée de ce nouveau genre de vie ; il y avait vingt ans qu'elle n'avait habité ce château vénérable s'élevant majestueusement au milieu des vieux châtaigniers plantés du temps des Sforce.,C1
396,"Ceux qui, même adultes, apprennent le breton ou l'apprennent à leurs enfants, sont dignes d'admiration",C2
397,"Le 8 juillet, j'ai supprimé l'eau et le lait.",A2
398,Soixante associations de défense de l'environnement et de solidarité sociale ont mis en garde contre une possible exclusion de l'obligation de rénovation énergétique des logements dans la future loi sur le climat.,C2
399,"Les plaies qui saignent au flanc du Christ, les contradictions essentielles à la raison, il semble que Hegel les voie piu'fois comme une seule et même bIessure.",C2
400,"Ces derniers, par exemple, privilégient l'achat patriotique pour sa faible empreinte carbone",B2
401,Ce à quoi s'ajoute l'effet hautement déstabilisateur de la spéculation sur les matières premières.,C1
402,"Lucien Neuwirth, pionnier de la contraception, est mort dans la nuit de lundi à mardi à 89 ans, des suites d'une infection pulmonaire, à l'hôpital Rossini-Sainte-Périne à Pans",C1
403,"Il n'y a là rien d'impossible, estime un député, 75 % des déplacements domicile-travail font aujourd'hui moins de 5 km et 70 % de ces trajets sont faits aujourd'hui en voiture.",B2
404,Je travaille dans un hopital.,A1
405,Ils préfèrent alors rester à la maison et profitent du temps libre pour visiter leurs familles ou se balader en ville,B1
406,"Enfin, elle s'est occupée du nouveau stagiaire et elle lui a expliqué le fonctionnement de l'entreprise ainsi que le règlement intérieur",B1
407,"Je proposerai donc quelques pistes pour résoudre ces problèmes, notamment en préconisant l'utilisation d'objets connectés et applications fonctionnant localement, et en suggérant l'utilisation de tables de consentement afin de définir simplement ce à quoi l'utilisateur consent exactement.",C2
408,"Et surtout, essayez de limiter les paires de chaussures",B2
409,"L'accostage terminé, lorsque les chaloupes déversent à terre leurs myriades de poissons étincelants, les femmes qui les empilent à mesure dans des corbeilles ont l'air de brasser un butin barbare",C1
410,Huit photons au moins sont nécessaires pour permettre la réduction d'une molécule de dioxyde de carbone par l'eau.,B2
411,"Il n'engendre aucun mouvement alternatif, ce qui réduit les transformations de mouvement, les frottements, les vibrations et le bruit.",C2
412,Il est considéré comme un membre de la famille à part entière.,A2
413,"Oui, j'ai ouvert un restaurant à Lyon depuis six mois dans le centre ville.",A1
414,"Selon l'élue du 1er arrondissement, la coupe dans le budget de l'opéra répond aussi aux recommandations récurrentes de la chambre régionale des comptes, reprochant l'impact de l'établissement lyrique dans les finances municipales.",C1
415,"Aujourd'hui, je vais te présenter ma famille.",A2
416,"Trop souvent le tourisme est une cause de dégradation de l'environnement ou de désorganisation d'une société traditionnelle alors que le voyageur doit être à l'écoute, tolérant et s'adapter à la vie locale.",B1
417,"Je vous ai dit, c'est une fille bizarre.",A2
418,"J'habite à New York, et toi ?",A1
419,L'accès par voie électronique de l'ensemble des formalités au registre du commerce et des sociétés.,B2
420,"Il faut avoir les compétences, la technologie, pour les fabriquer, ou utiliser des capsules déjà existantes.",C2
421,"Il rampait à plat ventre, galopait à quatre pattes, prenait son panier aux dents, se tordait, glissait, ondulait, serpentait d'un mort à l'autre, et vidait la giberne ou a cartouchière comme un singe ouvre une voix.",B2
422,"Après tout, la façon dont ont s'habille fait partie de sa personnalité, non?",B1
423,Ce sont des vacances très relaxantes,A1
424,Il faudrait aborder la question le plus tôt possible afin de prendre les mesures coercitives adéquates.,C1
425,C'était sa grande différence entre lui et moi.,B1
426,Je n'ai pas beaucoup d'occasions d'écouter les chansons modernes.,A2
427,"Il aura de bons rapports avec la dernière femme de son père, Lucrezia Guglielmo Cortigiani, et laissera une note l'appelant ""chère et douce mère"".",C2
428,"Le détachement procuré par le statut de voyageur facilite-t-il la transgression des normes, légales ou morales, auxquelles est tenu un individu avec domicile fixe ?",C2
429,j'aime beaucoup faire du parapente.,A1
430,Moi je pense que l'école ne peut pas tout faire.,A2
431,"Quand ils se verront, elle pleurera et elle s'évanouira ; l'émotion sera trop grande.",B1
432,"Elle me répondit avec bonté, me donna des conseils affectueux, m'offrit une amitié sincère, mais me déclara que jusqu'au retour du comte de P *** elle ne pourrait me recevoir.",C2
433,Vraiment?,A1
434,Viens ici!,A1
435,Il annonce qu'il va faire appel.,A2
436,J'ai perdu mes feuilles !,A1
437,"Dani, est-ce que tu t'es inscrite à ton concours administratif ?",A1
438,"Même si Limoges est une grande ville, elle n'a rien à voir avec Paris !",A1
439,"Ce précieux instrument, d'origine américaine, envoyait, sans se gêner, un projectile conique de quatre kilogrammes à une distance moyenne de seize kilomètres.",B2
440,Tu es ridicule.,A1
441,"Choisir un logement n'est pas évident: certains achètent un appartement en ville, d'autres préfèrent une maison à la campagne.",B1
442,"Plus près de nous, l'internationalisation des marchés financiers, la diffusion de l'information par les médias électroniques et les autres avatars de la mondialisation ont intensifié la menace qui pesait déjà sur les petites langues.",C1
443,"Ce qui change vraiment, c'est la façon de favoriser l'accès à la connaissance.",B1
444,"Leurs branches étaient complètement nues, tandis que toutes leurs feuilles étaient tombées par terre.",B2
445,"De plus, ton inattention augmentera son désir de captiver ton attention, de t'intéresser, de te plaire, la remplira d'un sentiment confus de respect.",C2
446,"Je poursuivis longtemps de la sorte, levant toutes les objections, retournant de mille manières tous les raisonnements qui plaidaient en ma faveur.",C2
447,"Soit le commerce équitable est réduit délibérément à une des formes de la politique sociale du libéralisme, faisant prévaloir les oeuvres caritatives sur les droits sociaux, soit il est au contraire un véritable enjeu de société.",C1
448,"Non, je ne le trouve pas !",A1
449,Ils ont beaucoup d'idées,A1
450,C'est comme ça tous les jours.,A2
451,"La conscience malheureuse, c'est donc le mauvais infini tel que la philosophie de Fichte amène à le concevoir.",C2
452,"Une langue qui n'est pas employée sur Internet ""n'existe plus"" dans le monde moderne.",B1
453,"Avant de boire une tasse de café, il faut faire pousser le plan de café, le récolter, le transporter, l'emballer, le vendre et le préparer",B1
454,La stratégie de sauvegarde des données constitue la pierre angulaire d'un plan de continuité et de reprise car elle va permettre d'assurer le critère de disponibilité.,C1
455,"Je veux trouver un cadeau d'anniversaire pour ma copine, donc je vais aller au centre commercial",A2
456,Le ciel était noir.,A2
457,J'aimerais que tu fermes la fenêtre avant de partir.,B1
458,"Les républicains se disaient outrés par d'anciens commentaires les visant nommément, tandis que des progressistes proches de Bernie Sanders la jugeaient trop centriste.",B2
459,"A gauche, c'est ma salle de bain, avec vue sur mon jardin. Je me sens très bien dans ma nouvelle maison !",A2
460,"Que ces acteurs, telle la marque Max Havelaar, croient ou feignent de croire qu'ils disposent du rapport de force nécessaire pour infléchir les pratiques de ces multinationales, c'est leur droit.",C1
461,Il travaille à Rome,A1
462,Je me débattais intérieurement : j'étais indigné contre moi-même.,C2
463,"Entre-temps, après avoir réalisé un bénéfice, Piero acheta une plaque décorée d'un coeur transpercé d'une flèche qu'il donna au paysan.",C1
464,Pourquoi on ne peut pas jouer avec Jules et Alice ?,A1
465,Cette activité apparait dans la religion grecque de l'Antiquité comme un cadeau qui est toutefois imposé aux Hommes pour qu'ils puissent survivre,C2
466,Alexandre aimait réviser à l'université pour flirter avec des filles de la faculté de droit,B1
467,"Du moment qu'on a une démocratie, on doit écouter le peuple.",B1
468,"En revanche, le sapin n'avait pas perdu une seule aiguille.",A2
469,"Elle n'aime pas les reproches, elle est susceptible.",B1
470,Il y a des régions où les enfants ne vont pas à l'école le mercredi.,A2
471,Il est midi et quize minutes.,A1
472,Il a participé à la construction du canal ?,A2
473,J'adore la cuisine ici,A2
474,J'ai posé le courrier sur la table.,A2
475,"En plus, comme il faisait très beau on mangeait toujours dans le jardin avec des amis ou des voisins, j'ai beaucoup parlé, tu sais !",B1
476,Mais la société a évolué et si l'école ne le fait pas il y aura de plus en plus de jeunes comme ceux que décrit Mlle Lesueur.,A2
477,D'où tu viens?,A1
478,Je n'aime pas cette photo.,A1
479,"Sa grand-mère paternelle, céramiste et proche de Léonard, est peut-être la personne qui l'initia aux arts.",C1
480,"Nous nous installions dans la maison de vacances, puis nous prenions l'apéritif avec les voisins",A2
481,Je crois que c'est surtout pour me faire plaisir.,A2
482,Ces chiffres sont susceptibles de varier au cours de cette année.,B2
483,"Le résultat de ces deux études démontrent que chez les personnes par ailleurs en bonne santé et menant un train de vie normal, les valeurs en ferritine n'influencent pas à elles seules des degrés de fatigue divers.",C2
484,"La fenêtre s'est refermée sur ma main, ça fait mal.",B1
485,Le restaurant n'est pas loin du musée du Louvre,A1
486,"Liberté privée, ordre public: telle est l'équation fétiche des Français.",B2
487,Il veut aller à la montagne,A2
488,Je commence par un petit-déjeuner dans un café près de l'Arc de Triomphe avec des croissants délicieux,B1
489,"Inversement, les régions tempérées lointaines n'intéressent que médiocrement les colonisateurs jusqu'à l'explosion démographique du Vieux Continent au XIXe siècle, moment où les ""pays neufs"" deviennent des prolongements européens.",C2
490,"Les gourmets, adeptes de bistronomie, s'en voient souvent proposé en plateau accompagné de fruits secs, voire de confiture ; un mélange sucré salé qui sied parfaitement aux apéritifs dinatoires si chers aux papilles hexagonales.",C2
491,Un héritier : un héritier est une personne qui reçoit des droits ou un patrimoine après la mort d'une personne.,A2
492,Je m'appelle Jessica,A1
493,Je vous remercie et je vous souhaite une très bonne journée.,A2
494,"On ne pouvait citer aucune action condamnable ; on ne pouvait même m'en contester quelques-unes qui semblaient annoncer de la générosité ou du dévouement ; mais on disait que j'étais un homme immoral, un homme peu sûr : deux épithètes heureusement inventées pour insinuer les faits qu'on ignore, et laisser deviner ce qu'on ne sait pas.",C2
495,Tu dois te couper les ongles.,A2
496,"Avec la distanciation sociale, les occasions de se réunir ont également été moins fréquentes.",B2
497,"Le dessein de lui plaire, mettant dans ma vie un nouvel intérêt, animait mon existence d'une manière inusitée.",C2
498,"Comme mon père parlait toujours du côté de Méséglise comme de la plus belle vue de la plaine qu'il connût et du côté de Guermantes comme du type de paysage de rivière, je leur donnais, en les concevant ainsi comme deux entités, cette cohésion, cette unité qui n'appartiennent qu'aux créations de notre esprit ; la moindre parcelle de chacun d'eux me semblait précieuse et manifester leur excellence particulière, tandis qu'à côté d'eux, avant qu'on fût arrivé sur le sol sacré de l'un ou de l'autre, les chemins purement matériels au milieu desquels ils étaient posés comme l'idéal de la vue de plaine et l'idéal du paysage de rivière, ne valaient pas plus la peine d'être regardés que par le spectateur épris d'art dramatique les petites rues qui avoisinent un théâtre.",C2
499,"Si vous voulez attendre au bar, on vous appellera quand ce sera prêt.",A2
500,"Cet emballage innovant, allié au développement des lignes de chemin de fer, permit la distribution du camembert dans d'autres régions de France, mais aussi à l'étranger.",B2
